checkpoint,t_start,guidance_scale,auroc,auprc,f1_score,accuracy,sensitivity,specificity,precision,optimal_threshold
step_50000.pt,150,7.5,0.7473283950617283,0.8491681680798666,0.7725225225225225,0.7007407407407408,0.7622222222222222,0.5777777777777777,0.7831050228310502,0.1543024629354477
step_90000.pt,150,5.0,0.7471703703703703,0.8472782220378461,0.77665544332211,0.7051851851851851,0.7688888888888888,0.5777777777777777,0.7845804988662132,0.15475866198539734
step_90000.pt,150,3.0,0.7466271604938273,0.8473520924312202,0.7739032620922385,0.7022222222222222,0.7644444444444445,0.5777777777777777,0.7835990888382688,0.15463095903396606
step_90000.pt,200,5.0,0.7465283950617284,0.8471615306004486,0.7632183908045977,0.6948148148148148,0.7377777777777778,0.6088888888888889,0.7904761904761904,0.17938745021820068
step_50000.pt,150,3.0,0.7462320987654321,0.8483089913985082,0.7725225225225225,0.7007407407407408,0.7622222222222222,0.5777777777777777,0.7831050228310502,0.15491284430027008
step_60000.pt,150,3.0,0.7461629629629629,0.8471409049170042,0.7725225225225225,0.7007407407407408,0.7622222222222222,0.5777777777777777,0.7831050228310502,0.15500164031982422
step_50000.pt,150,5.0,0.7457975308641975,0.8487118636420641,0.7711386696730552,0.6992592592592592,0.76,0.5777777777777777,0.782608695652174,0.1558282971382141
step_100000.pt,250,5.0,0.7401185185185185,0.8430855443884994,0.7917570498915402,0.7155555555555555,0.8111111111111111,0.5244444444444445,0.7733050847457628,0.1795642971992492
step_100000.pt,250,7.5,0.7391703703703703,0.8427772884836268,0.7926167209554832,0.717037037037037,0.8111111111111111,0.5288888888888889,0.7749469214437368,0.1812832951545715
step_110000.pt,250,3.0,0.7366913580246913,0.8425898506361968,0.7226277372262774,0.6622222222222223,0.66,0.6666666666666666,0.7983870967741935,0.214149922132492
step_110000.pt,250,7.5,0.7360395061728394,0.8433015750589641,0.7174447174447175,0.6592592592592592,0.6488888888888888,0.68,0.8021978021978022,0.2165924906730651
step_100000.pt,250,3.0,0.7352987654320988,0.8431323888109523,0.7987220447284346,0.72,0.8333333333333334,0.4933333333333333,0.7668711656441718,0.174324557185173
step_90000.pt,100,7.5,0.7348938271604939,0.8403867133693506,0.7613636363636364,0.6888888888888889,0.7444444444444445,0.5777777777777777,0.7790697674418605,0.1438979059457779
step_110000.pt,250,5.0,0.7347851851851852,0.8418404468355523,0.7467911318553092,0.6785185185185185,0.7111111111111111,0.6133333333333333,0.7862407862407862,0.2014895379543304
step_60000.pt,100,7.5,0.7341728395061727,0.8399466862410374,0.6419753086419753,0.6133333333333333,0.52,0.8,0.8387096774193549,0.19267940521240234
